knowledge_id,genre_id,knowledge_to_genre
265,11,belong_to
265,22,belong_to
266,11,belong_to
266,22,belong_to
267,11,belong_to
267,22,belong_to
268,11,belong_to
268,22,belong_to
269,11,belong_to
269,22,belong_to
270,11,belong_to
270,22,belong_to
271,11,belong_to
271,22,belong_to
272,22,belong_to
273,22,belong_to
274,22,belong_to
275,22,belong_to
276,22,belong_to
277,11,belong_to
277,22,belong_to
278,11,belong_to
278,22,belong_to
279,11,belong_to
279,22,belong_to
280,11,belong_to
280,22,belong_to
281,11,belong_to
281,22,belong_to
282,22,belong_to
285,22,belong_to
286,22,belong_to
287,22,belong_to
288,22,belong_to
289,11,belong_to
289,22,belong_to
291,22,belong_to
292,22,belong_to
293,22,belong_to
294,22,belong_to
295,22,belong_to
296,11,belong_to
296,22,belong_to
297,22,belong_to
298,22,belong_to
299,22,belong_to
300,11,belong_to
300,22,belong_to
301,11,belong_to
301,22,belong_to
302,22,belong_to
303,22,belong_to
304,22,belong_to
305,22,belong_to
306,22,belong_to
307,22,belong_to
308,22,belong_to
311,22,belong_to
312,22,belong_to
313,22,belong_to
314,11,belong_to
314,22,belong_to
315,22,belong_to
316,22,belong_to
317,11,belong_to
317,22,belong_to
318,22,belong_to
319,11,belong_to
319,22,belong_to
320,22,belong_to
321,22,belong_to
322,22,belong_to
323,22,belong_to
324,22,belong_to
325,22,belong_to
326,11,belong_to
326,22,belong_to
328,22,belong_to
329,22,belong_to
330,11,belong_to
330,22,belong_to
331,11,belong_to
331,22,belong_to
332,22,belong_to
333,11,belong_to
333,22,belong_to
334,11,belong_to
334,22,belong_to
335,22,belong_to
337,22,belong_to
338,11,belong_to
338,22,belong_to
339,22,belong_to
340,11,belong_to
340,22,belong_to
341,11,belong_to
341,22,belong_to
342,22,belong_to
344,22,belong_to
345,11,belong_to
345,22,belong_to
346,22,belong_to
347,11,belong_to
347,22,belong_to
348,22,belong_to
349,22,belong_to
350,22,belong_to
351,22,belong_to
352,22,belong_to
353,22,belong_to
354,22,belong_to
355,22,belong_to
356,22,belong_to
357,22,belong_to
358,22,belong_to
359,22,belong_to
360,11,belong_to
360,22,belong_to
361,22,belong_to
362,11,belong_to
362,22,belong_to
363,11,belong_to
363,22,belong_to
364,11,belong_to
364,22,belong_to
365,22,belong_to
366,11,belong_to
366,22,belong_to
367,22,belong_to
368,22,belong_to
369,11,belong_to
369,22,belong_to
370,11,belong_to
370,22,belong_to
371,22,belong_to
372,11,belong_to
372,22,belong_to
373,22,belong_to
374,11,belong_to
374,22,belong_to
375,11,belong_to
375,22,belong_to
376,22,belong_to
377,22,belong_to
378,11,belong_to
378,22,belong_to
380,11,belong_to
380,22,belong_to
382,11,belong_to
382,22,belong_to
383,22,belong_to
384,11,belong_to
384,22,belong_to
385,11,belong_to
385,22,belong_to
386,22,belong_to
387,22,belong_to
389,11,belong_to
389,22,belong_to
390,11,belong_to
390,22,belong_to
391,22,belong_to
392,11,belong_to
392,22,belong_to
393,11,belong_to
393,22,belong_to
394,11,belong_to
394,22,belong_to
395,11,belong_to
395,22,belong_to
396,11,belong_to
396,22,belong_to
397,22,belong_to
398,22,belong_to
399,22,belong_to
400,22,belong_to
401,22,belong_to
402,22,belong_to
403,22,belong_to
404,22,belong_to
405,22,belong_to
406,11,belong_to
406,22,belong_to
407,22,belong_to
408,22,belong_to
409,22,belong_to
410,22,belong_to
411,22,belong_to
412,22,belong_to
413,22,belong_to
414,22,belong_to
415,22,belong_to
416,11,belong_to
416,22,belong_to
417,22,belong_to
418,11,belong_to
418,22,belong_to
419,22,belong_to
420,22,belong_to
421,22,belong_to
422,22,belong_to
423,22,belong_to
424,22,belong_to
425,22,belong_to
426,11,belong_to
426,22,belong_to
427,22,belong_to
428,22,belong_to
429,22,belong_to
430,22,belong_to
431,22,belong_to
432,11,belong_to
432,22,belong_to
433,22,belong_to
434,11,belong_to
434,22,belong_to
435,11,belong_to
435,22,belong_to
436,22,belong_to
437,22,belong_to
438,22,belong_to
439,22,belong_to
440,22,belong_to
441,22,belong_to
442,11,belong_to
442,22,belong_to
443,22,belong_to
444,22,belong_to
445,22,belong_to
446,22,belong_to
447,22,belong_to
448,22,belong_to
449,22,belong_to
450,22,belong_to
451,22,belong_to
452,22,belong_to
453,22,belong_to
454,22,belong_to
455,11,belong_to
455,22,belong_to
456,22,belong_to
457,22,belong_to
458,22,belong_to
459,22,belong_to
460,22,belong_to
461,22,belong_to
462,22,belong_to
463,22,belong_to
464,11,belong_to
464,22,belong_to
465,11,belong_to
465,22,belong_to
466,11,belong_to
466,22,belong_to
467,22,belong_to
468,11,belong_to
468,22,belong_to
469,11,belong_to
469,22,belong_to
470,22,belong_to
471,22,belong_to
472,22,belong_to
473,22,belong_to
474,22,belong_to
475,11,belong_to
475,22,belong_to
476,22,belong_to
477,22,belong_to
478,22,belong_to
479,22,belong_to
480,11,belong_to
480,22,belong_to
481,22,belong_to
482,11,belong_to
482,22,belong_to
483,11,belong_to
483,22,belong_to
484,11,belong_to
484,22,belong_to
485,11,belong_to
485,22,belong_to
486,11,belong_to
486,22,belong_to
487,22,belong_to
488,22,belong_to
489,22,belong_to
490,11,belong_to
490,22,belong_to
491,11,belong_to
491,22,belong_to
492,22,belong_to
493,22,belong_to
494,22,belong_to
495,22,belong_to
496,22,belong_to
497,11,belong_to
497,22,belong_to
498,22,belong_to
499,11,belong_to
499,22,belong_to
500,22,belong_to
501,22,belong_to
502,22,belong_to
503,22,belong_to
504,11,belong_to
504,22,belong_to
505,11,belong_to
505,22,belong_to
506,11,belong_to
506,22,belong_to
507,22,belong_to
508,22,belong_to
509,22,belong_to
510,22,belong_to
511,22,belong_to
512,22,belong_to
513,22,belong_to
514,11,belong_to
514,22,belong_to
516,22,belong_to
517,22,belong_to
518,22,belong_to
519,11,belong_to
519,22,belong_to
520,22,belong_to
521,11,belong_to
521,22,belong_to
522,22,belong_to
523,22,belong_to
524,22,belong_to
525,11,belong_to
525,22,belong_to
526,22,belong_to
527,22,belong_to
529,22,belong_to
530,11,belong_to
530,22,belong_to
531,22,belong_to
532,22,belong_to
533,11,belong_to
533,22,belong_to
534,22,belong_to
535,11,belong_to
535,22,belong_to
536,22,belong_to
537,22,belong_to
538,11,belong_to
538,22,belong_to
539,11,belong_to
539,22,belong_to
540,11,belong_to
540,22,belong_to
541,11,belong_to
541,22,belong_to
542,22,belong_to
543,22,belong_to
544,11,belong_to
544,22,belong_to
545,22,belong_to
546,22,belong_to
547,11,belong_to
547,22,belong_to
548,11,belong_to
548,22,belong_to
549,11,belong_to
549,22,belong_to
550,22,belong_to
551,22,belong_to
552,22,belong_to
553,22,belong_to
554,22,belong_to
555,11,belong_to
555,22,belong_to
556,22,belong_to
557,22,belong_to
558,22,belong_to
559,11,belong_to
559,22,belong_to
561,22,belong_to
562,22,belong_to
563,11,belong_to
563,22,belong_to
564,22,belong_to
565,11,belong_to
565,22,belong_to
566,11,belong_to
566,22,belong_to
567,11,belong_to
567,22,belong_to
569,11,belong_to
569,22,belong_to
570,11,belong_to
570,22,belong_to
571,11,belong_to
571,22,belong_to
572,11,belong_to
572,22,belong_to
574,11,belong_to
574,22,belong_to
575,11,belong_to
575,22,belong_to
576,22,belong_to
577,22,belong_to
579,22,belong_to
580,22,belong_to
581,22,belong_to
582,22,belong_to
583,22,belong_to
584,22,belong_to
585,22,belong_to
586,22,belong_to
587,22,belong_to
588,22,belong_to
589,22,belong_to
590,22,belong_to
592,22,belong_to
593,22,belong_to
594,22,belong_to
595,11,belong_to
595,22,belong_to
596,11,belong_to
596,22,belong_to
597,22,belong_to
